経路長：53631.57211
i: 59, length:52436.18718 , length_2:52447.79033 , length_3:52453.73416             num_True:9  ,            lap_time:561.23258
i: 60, length:52436.18718 , length_2:52447.79033 , length_3:52453.73416             num_True:10 ,            lap_time:570.23342
i: 61, length:52427.64141 , length_2:52436.18718 , length_3:52440.66021             num_True:7  ,            lap_time:579.03022
i: 62, length:52427.64141 , length_2:52433.28118 , length_3:52436.18718             num_True:8  ,            lap_time:588.47228
i: 63, length:52414.47124 , length_2:52427.64141 , length_3:52433.28118             num_True:8  ,            lap_time:597.32627
i: 64, length:52414.47124 , length_2:52427.64141 , length_3:52433.28118             num_True:10 ,            lap_time:606.92481
i: 65, length:52414.47124 , length_2:52427.64141 , length_3:52433.28118             num_True:9  ,            lap_time:616.55837
i: 66, length:52284.50221 , length_2:52414.47124 , length_3:52427.64141             num_True:10 ,            lap_time:625.26759
i: 67, length:52245.98573 , length_2:52270.2498  , length_3:52284.50221             num_True:9  ,            lap_time:634.68655
i: 68, length:52193.8566  , length_2:52245.98573 , length_3:52270.2498              num_True:4  ,            lap_time:643.61070
i: 69, length:52193.8566  , length_2:52216.14418 , length_3:52245.98573             num_True:9  ,            lap_time:652.51564
i: 70, length:52193.8566  , length_2:52216.14418 , length_3:52217.61781             num_True:8  ,            lap_time:661.74755
i: 71, length:52094.01101 , length_2:52130.30207 , length_3:52184.50032             num_True:7  ,            lap_time:670.78991
i: 72, length:52094.01101 , length_2:52130.30207 , length_3:52160.44468             num_True:5  ,            lap_time:681.27429
i: 73, length:52094.01101 , length_2:52130.30207 , length_3:52160.44468             num_True:8  ,            lap_time:697.66593
i: 74, length:52094.01101 , length_2:52130.30207 , length_3:52137.6811              num_True:7  ,            lap_time:707.29325
i: 75, length:52087.29392 , length_2:52094.01101 , length_3:52109.84908             num_True:8  ,            lap_time:718.05314
i: 76, length:51946.39601 , length_2:51987.1601  , length_3:52053.13614             num_True:6  ,            lap_time:728.33601
i: 77, length:51946.39601 , length_2:51987.1601  , length_3:52050.21177             num_True:6  ,            lap_time:738.34338
i: 78, length:51946.39601 , length_2:51987.1601  , length_3:52012.79848             num_True:4  ,            lap_time:748.66503
i: 79, length:51934.78746 , length_2:51946.39601 , length_3:51948.83725             num_True:10 ,            lap_time:758.27937
i: 80, length:51934.78746 , length_2:51946.39601 , length_3:51948.83725             num_True:8  ,            lap_time:768.43552
i: 81, length:51169.27464 , length_2:51169.27465 , length_3:51264.79791             num_True:2  ,            lap_time:778.46452
i: 82, length:51169.27464 , length_2:51169.27465 , length_3:51184.18319             num_True:9  ,            lap_time:787.53423
i: 83, length:51161.89562 , length_2:51169.27464 , length_3:51169.27465             num_True:6  ,            lap_time:795.67687
i: 84, length:51092.88144 , length_2:51161.89562 , length_3:51169.27464             num_True:6  ,            lap_time:806.71247
i: 85, length:51092.88144 , length_2:51161.89562 , length_3:51169.27464             num_True:9  ,            lap_time:815.54747
i: 86, length:51092.88144 , length_2:51120.08381 , length_3:51161.89562             num_True:7  ,            lap_time:825.14844
i: 87, length:51092.88144 , length_2:51120.08381 , length_3:51161.89562             num_True:10 ,            lap_time:834.87925
i: 88, length:51092.88144 , length_2:51097.35447 , length_3:51108.71951             num_True:8  ,            lap_time:845.00323
i: 89, length:51059.52868 , length_2:51092.88144 , length_3:51097.35447             num_True:7  ,            lap_time:855.00622
i: 90, length:51032.32631 , length_2:51048.16438 , length_3:51058.33234             num_True:5  ,            lap_time:866.07191
i: 91, length:50900.48173 , length_2:51032.32631 , length_3:51038.99708             num_True:4  ,            lap_time:877.13104
i: 92, length:50900.48173 , length_2:50948.77534 , length_3:50956.15437             num_True:9  ,            lap_time:887.48920
i: 93, length:50888.22021 , length_2:50900.48173 , length_3:50948.77534             num_True:7  ,            lap_time:896.58410
i: 94, length:50888.22021 , length_2:50900.48173 , length_3:50948.77534             num_True:10 ,            lap_time:906.60118
i: 95, length:50888.22021 , length_2:50900.48173 , length_3:50948.77534             num_True:9  ,            lap_time:915.99696
i: 96, length:50888.22021 , length_2:50900.48173 , length_3:50928.07084             num_True:8  ,            lap_time:924.79900
i: 97, length:50832.54757 , length_2:50888.22021 , length_3:50900.48173             num_True:7  ,            lap_time:933.85603
i: 98, length:50832.54757 , length_2:50888.22021 , length_3:50900.48173             num_True:9  ,            lap_time:942.57571
i: 99, length:50832.54757 , length_2:50867.49965 , length_3:50888.22021             num_True:6  ,            lap_time:950.33472
i:100, length:50775.75029 , length_2:50832.54757 , length_3:50867.49965             num_True:8  ,            lap_time:959.08958
i:101, length:50775.75029 , length_2:50814.35311 , length_3:50820.07765             num_True:8  ,            lap_time:968.49927
i:102, length:50775.75029 , length_2:50814.35311 , length_3:50820.07765             num_True:8  ,            lap_time:978.52016
i:103, length:50691.44462 , length_2:50712.34691 , length_3:50760.84174             num_True:6  ,            lap_time:989.20555
i:104, length:50691.44462 , length_2:50712.34691 , length_3:50724.55068             num_True:6  ,            lap_time:999.27864
i:105, length:50691.44462 , length_2:50697.43836 , length_3:50705.1691              num_True:6  ,            lap_time:1008.01237
i:106, length:50670.72406 , length_2:50691.44462 , length_3:50697.43836             num_True:8  ,            lap_time:1017.61538
i:107, length:50661.1473  , length_2:50670.72406 , length_3:50691.44462             num_True:6  ,            lap_time:1028.09228
i:108, length:50661.1473  , length_2:50670.72406 , length_3:50691.44462             num_True:10 ,            lap_time:1038.02261
i:109, length:50661.1473  , length_2:50670.72406 , length_3:50691.44462             num_True:8  ,            lap_time:1048.74971
i:110, length:50661.1473  , length_2:50670.72406 , length_3:50691.44462             num_True:9  ,            lap_time:1058.57342
i:111, length:50605.47466 , length_2:50612.85369 , length_3:50661.1473              num_True:9  ,            lap_time:1069.03548
i:112, length:50605.47466 , length_2:50612.85369 , length_3:50661.1473              num_True:10 ,            lap_time:1078.87729
i:113, length:50605.47466 , length_2:50612.85369 , length_3:50661.1473              num_True:9  ,            lap_time:1088.29505
i:114, length:50605.47466 , length_2:50612.85369 , length_3:50634.38669             num_True:10 ,            lap_time:1097.22531
i:115, length:50598.09563 , length_2:50605.47466 , length_3:50608.38066             num_True:9  ,            lap_time:1107.41809
i:116, length:50598.09563 , length_2:50601.00163 , length_3:50605.47466             num_True:9  ,            lap_time:1117.20504
i:117, length:50598.09563 , length_2:50601.00163 , length_3:50601.00164             num_True:8  ,            lap_time:1127.71405
i:118, length:50598.09563 , length_2:50601.00163 , length_3:50601.00164             num_True:9  ,            lap_time:1137.37297
i:119, length:50553.76827 , length_2:50593.6226  , length_3:50598.09563             num_True:8  ,            lap_time:1146.73245
i:120, length:50553.76827 , length_2:50590.05933 , length_3:50593.6226              num_True:9  ,            lap_time:1156.31140
i:121, length:50553.76827 , length_2:50590.05933 , length_3:50593.6226              num_True:10 ,            lap_time:1166.80816
i:122, length:50553.76827 , length_2:50590.05933 , length_3:50593.6226              num_True:10 ,            lap_time:1177.30470
i:123, length:50553.76827 , length_2:50587.6601  , length_3:50590.05933             num_True:9  ,            lap_time:1187.40588
i:124, length:50553.76827 , length_2:50587.6601  , length_3:50590.05933             num_True:10 ,            lap_time:1197.63858
i:125, length:50553.76827 , length_2:50587.6601  , length_3:50590.05933             num_True:9  ,            lap_time:1207.60789
i:126, length:50553.76827 , length_2:50587.6601  , length_3:50590.05933             num_True:10 ,            lap_time:1221.80605
i:127, length:50553.76827 , length_2:50587.6601  , length_3:50590.05933             num_True:9  ,            lap_time:1231.41260
i:128, length:50553.76827 , length_2:50587.6601  , length_3:50590.05933             num_True:10 ,            lap_time:1243.97461
i:129, length:50553.76827 , length_2:50586.95183 , length_3:50587.6601              num_True:8  ,            lap_time:1254.65180
i:130, length:50533.80141 , length_2:50553.76827 , length_3:50580.28107             num_True:9  ,            lap_time:1264.60884
i:131, length:50533.80141 , length_2:50553.76827 , length_3:50570.09247             num_True:10 ,            lap_time:1274.94033
i:132, length:50533.80141 , length_2:50553.76827 , length_3:50570.09247             num_True:9  ,            lap_time:1286.39272
i:133, length:50441.10378 , length_2:50533.80141 , length_3:50553.76827             num_True:9  ,            lap_time:1298.42423
i:134, length:50441.10378 , length_2:50533.80141 , length_3:50536.62705             num_True:9  ,            lap_time:1312.71974
i:135, length:50441.10378 , length_2:50520.38322 , length_3:50533.80141             num_True:8  ,            lap_time:1326.76110
i:136, length:50441.10378 , length_2:50520.38322 , length_3:50533.80141             num_True:8  ,            lap_time:1338.02414
i:137, length:50441.10378 , length_2:50520.38322 , length_3:50523.12671             num_True:8  ,            lap_time:1351.03425
i:138, length:50441.10378 , length_2:50445.57681 , length_3:50481.86787             num_True:7  ,            lap_time:1361.36370
i:139, length:50441.10378 , length_2:50445.57681 , length_3:50481.86787             num_True:7  ,            lap_time:1372.35921
i:140, length:50441.10378 , length_2:50445.57681 , length_3:50481.86787             num_True:10 ,            lap_time:1384.50307
i:141, length:50441.10378 , length_2:50445.57681 , length_3:50481.86787             num_True:10 ,            lap_time:1395.11074
i:142, length:50441.10378 , length_2:50445.57681 , length_3:50474.48884             num_True:9  ,            lap_time:1406.78983
i:143, length:50405.47467 , length_2:50441.10378 , length_3:50445.57681             num_True:6  ,            lap_time:1419.62006
i:144, length:50405.47467 , length_2:50441.10378 , length_3:50441.76573             num_True:9  ,            lap_time:1431.21914
i:145, length:50401.24945 , length_2:50405.47467 , length_3:50434.43301             num_True:8  ,            lap_time:1456.19408
i:146, length:50401.24945 , length_2:50405.47467 , length_3:50434.43301             num_True:9  ,            lap_time:1470.63358
i:147, length:50228.18499 , length_2:50401.24945 , length_3:50405.47467             num_True:6  ,            lap_time:1491.20933
i:148, length:50228.18499 , length_2:50323.70826 , length_3:50362.48014             num_True:8  ,            lap_time:1509.35219
i:149, length:50228.18499 , length_2:50306.6126  , length_3:50311.95722             num_True:6  ,            lap_time:1524.42710
i:150, length:50228.18499 , length_2:50306.6126  , length_3:50306.8075              num_True:8  ,            lap_time:1533.77270
i:151, length:50172.51235 , length_2:50213.27644 , length_3:50228.18499             num_True:5  ,            lap_time:1545.58512
i:152, length:50172.51235 , length_2:50213.27644 , length_3:50224.88499             num_True:4  ,            lap_time:1558.33721
i:153, length:50172.51235 , length_2:50205.8974  , length_3:50205.89741             num_True:9  ,            lap_time:1570.69657
i:154, length:50172.51235 , length_2:50205.8974  , length_3:50205.89741             num_True:9  ,            lap_time:1581.12987
i:155, length:50172.51235 , length_2:50205.8974  , length_3:50205.89741             num_True:10 ,            lap_time:1595.57412
i:156, length:50172.51235 , length_2:50176.98538 , length_3:50205.8974              num_True:8  ,            lap_time:1605.39969
i:157, length:50172.51235 , length_2:50176.98538 , length_3:50205.8974              num_True:9  ,            lap_time:1617.27737
i:158, length:50172.51235 , length_2:50176.98538 , length_3:50205.8974              num_True:9  ,            lap_time:1629.59461
i:159, length:50172.51235 , length_2:50176.98538 , length_3:50205.8974              num_True:9  ,            lap_time:1641.28701
