1回目
経路長：6241.0
i:64, length:3094.0      , tours_all_len:10,            num_True:3,            num_already_baseline:3            lap_time:545.59340
i:65, length:3079.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:553.73709
i:66, length:3073.0      , tours_all_len:10,            num_True:3,            num_already_baseline:3            lap_time:561.90466
i:67, length:3065.0      , tours_all_len:10,            num_True:4,            num_already_baseline:6            lap_time:569.67823
i:68, length:3056.0      , tours_all_len:10,            num_True:1,            num_already_baseline:2            lap_time:577.64551
i:69, length:3047.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:585.33509
i:70, length:3036.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:592.48150
i:71, length:3024.0      , tours_all_len:10,            num_True:3,            num_already_baseline:3            lap_time:600.76635
i:72, length:3016.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:609.25400
i:73, length:3008.0      , tours_all_len:10,            num_True:3,            num_already_baseline:4            lap_time:617.41577
i:74, length:2998.0      , tours_all_len:10,            num_True:2,            num_already_baseline:3            lap_time:625.32416
i:75, length:2988.0      , tours_all_len:10,            num_True:3,            num_already_baseline:5            lap_time:633.17758
i:76, length:2984.0      , tours_all_len:10,            num_True:4,            num_already_baseline:6            lap_time:640.60468
i:77, length:2978.0      , tours_all_len:10,            num_True:3,            num_already_baseline:6            lap_time:648.73240
i:78, length:2971.0      , tours_all_len:10,            num_True:2,            num_already_baseline:3            lap_time:657.20896
i:79, length:2960.0      , tours_all_len:10,            num_True:5,            num_already_baseline:8            lap_time:666.88475
i:80, length:2953.0      , tours_all_len:10,            num_True:7,            num_already_baseline:8            lap_time:674.62280
i:81, length:2944.0      , tours_all_len:10,            num_True:3,            num_already_baseline:4            lap_time:688.84583
i:82, length:2936.0      , tours_all_len:10,            num_True:5,            num_already_baseline:5            lap_time:699.64317
i:83, length:2922.0      , tours_all_len:10,            num_True:4,            num_already_baseline:4            lap_time:710.42951
i:84, length:2915.0      , tours_all_len:10,            num_True:2,            num_already_baseline:4            lap_time:718.99880
i:85, length:2903.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:727.13610
i:86, length:2899.0      , tours_all_len:10,            num_True:4,            num_already_baseline:6            lap_time:735.12987
i:87, length:2894.0      , tours_all_len:10,            num_True:2,            num_already_baseline:2            lap_time:743.55239
i:88, length:2888.0      , tours_all_len:10,            num_True:3,            num_already_baseline:3            lap_time:751.53635
i:89, length:2884.0      , tours_all_len:10,            num_True:4,            num_already_baseline:4            lap_time:759.96208
i:90, length:2878.0      , tours_all_len:10,            num_True:3,            num_already_baseline:6            lap_time:767.72250
i:91, length:2875.0      , tours_all_len:10,            num_True:4,            num_already_baseline:7            lap_time:776.01855
i:92, length:2872.0      , tours_all_len:10,            num_True:4,            num_already_baseline:4            lap_time:783.37049
i:93, length:2867.0      , tours_all_len:10,            num_True:5,            num_already_baseline:6            lap_time:791.49873
i:94, length:2862.0      , tours_all_len:10,            num_True:6,            num_already_baseline:8            lap_time:799.65922
i:95, length:2859.0      , tours_all_len:10,            num_True:2,            num_already_baseline:2            lap_time:807.36790
i:96, length:2852.0      , tours_all_len:10,            num_True:4,            num_already_baseline:5            lap_time:815.85434
i:97, length:2848.0      , tours_all_len:10,            num_True:6,            num_already_baseline:9            lap_time:823.88080
i:98, length:2846.0      , tours_all_len:10,            num_True:7,            num_already_baseline:8            lap_time:831.42970
i:99, length:2843.0      , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:839.78370
i:100, length:2838.0      , tours_all_len:10,            num_True:5,            num_already_baseline:7            lap_time:847.28113
i:101, length:2836.0      , tours_all_len:10,            num_True:8,            num_already_baseline:9            lap_time:855.22970
i:102, length:2829.0      , tours_all_len:10,            num_True:4,            num_already_baseline:7            lap_time:862.99730
i:103, length:2829.0      , tours_all_len:10,            num_True:9,            num_already_baseline:10            lap_time:870.46555
i:104, length:2821.0      , tours_all_len:10,            num_True:5,            num_already_baseline:5            lap_time:878.44445
i:105, length:2820.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:885.77784
i:106, length:2813.0      , tours_all_len:10,            num_True:5,            num_already_baseline:7            lap_time:894.04638
i:107, length:2811.0      , tours_all_len:10,            num_True:7,            num_already_baseline:8            lap_time:901.64464
i:108, length:2810.0      , tours_all_len:10,            num_True:6,            num_already_baseline:10            lap_time:908.81208
i:109, length:2809.0      , tours_all_len:10,            num_True:6,            num_already_baseline:10            lap_time:917.06276
i:110, length:2807.0      , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:924.70775
i:111, length:2807.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:931.97441
i:112, length:2801.0      , tours_all_len:10,            num_True:5,            num_already_baseline:8            lap_time:939.80700
i:113, length:2800.0      , tours_all_len:10,            num_True:8,            num_already_baseline:10            lap_time:947.57786
i:114, length:2798.0      , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:954.69239
i:115, length:2796.0      , tours_all_len:10,            num_True:7,            num_already_baseline:10            lap_time:962.36945
