経路長：4854.0
i:64, length:1452.0      , tours_all_len:10,            num_True:3,            num_already_baseline:4            lap_time:414.70004
i:65, length:1441.0      , tours_all_len:10,            num_True:0,            num_already_baseline:0            lap_time:420.41358
i:66, length:1430.0      , tours_all_len:10,            num_True:4,            num_already_baseline:5            lap_time:428.10578
i:67, length:1423.0      , tours_all_len:10,            num_True:3,            num_already_baseline:3            lap_time:434.80124
i:68, length:1414.0      , tours_all_len:10,            num_True:5,            num_already_baseline:7            lap_time:442.42071
i:69, length:1401.0      , tours_all_len:10,            num_True:2,            num_already_baseline:4            lap_time:448.72249
i:70, length:1383.0      , tours_all_len:10,            num_True:5,            num_already_baseline:6            lap_time:455.26425
i:71, length:1371.0      , tours_all_len:10,            num_True:5,            num_already_baseline:5            lap_time:462.14483
i:72, length:1366.0      , tours_all_len:10,            num_True:6,            num_already_baseline:7            lap_time:468.96540
i:73, length:1362.0      , tours_all_len:10,            num_True:6,            num_already_baseline:9            lap_time:475.69359
i:74, length:1352.0      , tours_all_len:10,            num_True:3,            num_already_baseline:5            lap_time:482.73374
i:75, length:1347.0      , tours_all_len:10,            num_True:6,            num_already_baseline:8            lap_time:489.04420
i:76, length:1343.0      , tours_all_len:10,            num_True:6,            num_already_baseline:8            lap_time:495.08152
i:77, length:1337.0      , tours_all_len:10,            num_True:4,            num_already_baseline:7            lap_time:501.92223
i:78, length:1329.0      , tours_all_len:10,            num_True:4,            num_already_baseline:7            lap_time:507.78279
i:79, length:1323.0      , tours_all_len:10,            num_True:6,            num_already_baseline:7            lap_time:514.37049
i:80, length:1315.0      , tours_all_len:10,            num_True:6,            num_already_baseline:6            lap_time:520.59046
i:81, length:1303.0      , tours_all_len:10,            num_True:6,            num_already_baseline:7            lap_time:527.32935
i:82, length:1293.0      , tours_all_len:10,            num_True:4,            num_already_baseline:5            lap_time:533.31828
i:83, length:1293.0      , tours_all_len:10,            num_True:8,            num_already_baseline:9            lap_time:539.28233
i:84, length:1290.0      , tours_all_len:10,            num_True:6,            num_already_baseline:7            lap_time:545.52264
i:85, length:1288.0      , tours_all_len:10,            num_True:8,            num_already_baseline:9            lap_time:551.37165
i:86, length:1284.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:557.23808
i:87, length:1276.0      , tours_all_len:10,            num_True:6,            num_already_baseline:6            lap_time:563.78023
i:88, length:1269.0      , tours_all_len:10,            num_True:6,            num_already_baseline:6            lap_time:570.76424
i:89, length:1266.0      , tours_all_len:10,            num_True:7,            num_already_baseline:8            lap_time:576.32654
i:90, length:1264.0      , tours_all_len:10,            num_True:7,            num_already_baseline:9            lap_time:582.29481
i:91, length:1257.0      , tours_all_len:10,            num_True:5,            num_already_baseline:6            lap_time:589.27091
i:92, length:1255.0      , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:594.92072
i:93, length:1253.0      , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:601.22902
i:94, length:1251.0      , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:606.74899
i:95, length:1247.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:612.12011
i:96, length:1247.0      , tours_all_len:10,            num_True:8,            num_already_baseline:10            lap_time:618.53310
i:97, length:1245.0      , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:624.73123
i:98, length:1242.0      , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:630.03149
i:99, length:1240.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:635.50143
i:100, length:1240.0      , tours_all_len:10,            num_True:9,            num_already_baseline:10            lap_time:641.28889
i:101, length:1238.0      , tours_all_len:10,            num_True:5,            num_already_baseline:7            lap_time:647.04588
i:102, length:1235.0      , tours_all_len:10,            num_True:6,            num_already_baseline:6            lap_time:654.33834
i:103, length:1234.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:660.15761
i:104, length:1229.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:666.39045
i:105, length:1229.0      , tours_all_len:10,            num_True:9,            num_already_baseline:10            lap_time:672.90462
i:106, length:1228.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:678.51982
i:107, length:1227.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:684.96972
i:108, length:1225.0      , tours_all_len:10,            num_True:6,            num_already_baseline:10            lap_time:690.84067
i:109, length:1225.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:696.45642
i:110, length:1224.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:703.06498
i:111, length:1221.0      , tours_all_len:10,            num_True:6,            num_already_baseline:7            lap_time:708.96887
i:112, length:1221.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:714.24154
i:113, length:1221.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:720.19496
i:114, length:1217.0      , tours_all_len:10,            num_True:8,            num_already_baseline:9            lap_time:726.23635
i:115, length:1217.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:731.73515
i:116, length:1216.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:736.64893
i:117, length:1216.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:742.30456
i:118, length:1216.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:748.05893
i:119, length:1216.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:753.53947
i:120, length:1215.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:758.95249
i:121, length:1215.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:765.57983
i:122, length:1213.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:771.37060
i:123, length:1213.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:777.29200
i:124, length:1213.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:782.76810
i:125, length:1213.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:788.93422
i:126, length:1210.0      , tours_all_len:10,            num_True:7,            num_already_baseline:7            lap_time:794.83096
i:127, length:1210.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:800.05664
i:128, length:1210.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:804.80727
i:129, length:1207.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:811.32471
i:130, length:1207.0      , tours_all_len:10,            num_True:7,            num_already_baseline:10            lap_time:817.38433
i:131, length:1207.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:823.86815
i:132, length:1206.0      , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:830.08370
i:133, length:1206.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:836.29216
i:134, length:1205.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:842.75273
i:135, length:1205.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:848.34956
i:136, length:1205.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:854.54215
i:137, length:1200.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:860.87805
i:138, length:1200.0      , tours_all_len:10,            num_True:9,            num_already_baseline:10            lap_time:867.38558
i:139, length:1200.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:873.41930
i:140, length:1200.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:879.76272
i:141, length:1200.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:887.21066
i:142, length:1199.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:893.93217
i:143, length:1199.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:900.66465
i:144, length:1199.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:907.47007
i:145, length:1199.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:913.81589
i:146, length:1199.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:919.86667
i:147, length:1199.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:927.02945
i:148, length:1199.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:935.01229
i:149, length:1198.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:941.84782
i:150, length:1198.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:948.39028
i:151, length:1197.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:955.00041
