経路長：48503.0
i:64, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:260.95728
i:65, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:264.92552
i:66, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:269.49538
i:67, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:273.52468
i:68, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:277.54998
i:69, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:281.99455
i:70, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:285.95665
i:71, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:290.00703
i:72, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:294.00458
i:73, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:298.19258
i:74, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:302.18854
i:75, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:306.56016
i:76, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:310.41995
i:77, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:314.71658
i:78, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:319.06821
i:79, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:323.03335
i:80, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:327.33576
i:81, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:331.67135
i:82, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:335.68608
i:83, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:339.80858
i:84, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:344.29106
i:85, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:348.37557
i:86, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:352.35937
i:87, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:356.40265
i:88, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:360.45265
i:89, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:364.97343
i:90, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:368.82179
i:91, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:372.75611
i:92, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:376.76664
i:93, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:381.31012
i:94, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:385.34362
i:95, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:389.34088
i:96, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:393.51637
i:97, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:397.60696
i:98, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:401.64563
i:99, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:405.52991
i:100, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:409.55992
i:101, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:413.96502
i:102, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:418.26469
i:103, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:422.19668
i:104, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:426.21096
i:105, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:430.63813
i:106, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:434.62259
i:107, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:438.46686
i:108, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:442.46223
i:109, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:446.89814
i:110, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:450.96237
i:111, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:454.98498
i:112, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:458.95771
i:113, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:462.93648
i:114, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:467.32329
i:115, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:471.14963
i:116, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:475.21329
i:117, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:479.12744
i:118, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:482.94633
i:119, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:486.83981
i:120, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:491.44164
i:121, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:495.41793
i:122, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:499.41394
i:123, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:503.28645
i:124, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:507.33450
i:125, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:511.33255
i:126, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:515.82096
i:127, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:519.75662
i:128, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:523.64377
i:129, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:527.60653
i:130, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:531.49814
i:131, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:535.33440
i:132, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:539.54591
i:133, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:543.76702
i:134, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:547.63969
i:135, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:551.59604
i:136, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:555.44996
i:137, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:559.31622
i:138, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:563.54018
i:139, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:567.98199
i:140, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:571.83635
i:141, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:575.60176
i:142, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:579.50924
i:143, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:583.41408
i:144, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:587.34952
i:145, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:591.75132
i:146, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:595.59820
i:147, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:599.44241
i:148, length:39448.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:603.31979
i:149, length:39314.0     , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:607.20456
i:150, length:39309.0     , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:611.33412
